categoria,n_skus,preco_medio,margem_pct_media
BISCOITO,68,6.27,52.8
SORVETE JUNDIÁ,54,22.74,45.7
SNACK ELMA CHIPS,50,9.91,49.5
SORVETE KIBON,42,23.38,42.6
SOUZA CRUZ,38,11.24,11.1
LUBRIFICANTE LUBRAX,35,62.45,62.3
REFRIGERANTE,33,8.23,60.9
FILTRO DE ÓLEO,31,40.83,55.1
DOCES DIVERSOS,29,7.05,59.8
SNACK DIVERSOS,27,8.79,50.9
SUCO,27,9.92,55.2
FILTRO DE AR,18,56.49,56.2
JTI,18,12.93,12.2
CERVEJA ESPECIAIS,17,8.11,53.7
ENERGÉTICO,16,17.11,58.9
MENTOS,16,12.36,56.7
ISOTÔNICO,15,10.59,60.5
CERVEJA AMBEV,14,11.2,61.9
CHOCOLATE LACTA,13,11.53,55.4
CHICLETE,13,15.61,62.4
PALHETA,12,19.99,68.9
CHOCOLATE DIVERSOS,11,8.17,60.9
PHILIP MORRIS,11,10.18,11.9
FILTRO DE AR - ANTIGO,11,48.44,57.5
CHOCOLATE NESTLE,11,9.76,60.7
ADITIVOS STP,11,61.72,52.1
CEREAIS,10,8.09,58.2
BALA FINI,9,3.99,55.2
ACESSORIOS CELULAR,8,36.36,54.3
HIGIENE PESSOAL,8,12.49,53.6
CAFÉ,8,6.94,-inf
DESTILADOS DIVERSOS,8,33.99,51.1
AGUARDENTES,7,14.13,60.5
PEGBOARD,7,21.57,74.1
SNACK TORCIDA,7,3.99,58.4
CHOCOLATE GAROTO,7,11.28,57.4
CERVEJA FEMSA,7,8.99,48.3
AMENDOIN/NOZES,7,8.7,48.6
PADARIA,6,10.78,40.8
CHOCOLATE FERRERO,6,18.66,50.1
CHOCOLATE M&M (MARS),6,7.32,59.6
PASTILHAS,6,4.66,61.9
ACHOCOLATADO,6,8.35,75.6
AGUA SABORIZADA,5,6.79,58.9
BALA,5,3.99,63.1
UTILIDADES DOMESTICAS,5,13.09,48.0
ISQUEIROS,5,6.99,45.4
SANDUÍCHE,5,14.9,35.6
CHOCOLATE ARCOR,4,4.24,58.8
BEBIDA LÁCTEA,4,11.24,53.0
SALGADO ASSADO/FRITO,4,12.24,48.6
SNACK PRINGLES,4,19.99,43.0
MERCEARIA ALIMENTICIA,4,13.74,45.5
CHÁ,4,6.74,55.4
SORVETE PERFETTO,3,32.24,38.6
PILHAS,3,7.99,56.3
AGUA,3,6.66,62.0
WHISK,3,140.99,62.9
VODKA,3,32.99,61.2
PIPOCA,3,4.99,58.1
EXTINTOR,2,141.99,55.6
BOLO,2,3.99,53.5
BATERIA,1,3.99,58.4
ACESSÓRIOS DIVERSOS,1,6.99,61.5
ARRUELA,1,10.0,100.0
CARVÃO,1,44.99,52.9
CIGARRILHAS,1,15.0,7.9
CONGELADOS,1,43.99,39.6
CERVEJA ITAIPAVA,1,9.99,53.5
IOGURTE,1,6.99,55.1
LIMPA PNEU,1,10.99,55.2
NESCAFÉ BEBIDAS,1,8.5,38.4
LIMPA VIDROS,1,8.99,52.1
ODORIZANTE,1,14.99,53.4
MERCEARIA MAT. LIMPEZA,1,3.99,22.3
VINHO,1,39.99,66.9
ÁGUA DE COCO,1,9.99,52.5
