fonte,tipo,categoria,elasticidade_empirica,elasticidade_bijmolt,n_obs
Dunnhumby,Supermercado USA,agua,0.245,-2.5,500000
Dunnhumby,Supermercado USA,biscoito,-0.022,-3.2,500000
Dunnhumby,Supermercado USA,cafe,-0.069,-2.8,500000
Dunnhumby,Supermercado USA,cerveja,0.143,-3.0,500000
Dunnhumby,Supermercado USA,cha,-0.033,-2.5,500000
Dunnhumby,Supermercado USA,chocolate_doce,0.187,-2.9,500000
Dunnhumby,Supermercado USA,cigarro,-0.376,-3.0,500000
Dunnhumby,Supermercado USA,destilados,-0.352,-3.4,500000
Dunnhumby,Supermercado USA,refrigerante,-0.209,-3.2,500000
Dunnhumby,Supermercado USA,snack,0.012,-2.9,500000
Dunnhumby,Supermercado USA,sorvete,-0.029,-3.6,500000
Dunnhumby,Supermercado USA,suco,-0.138,-3.1,500000
Dunnhumby,Supermercado USA,vinho,-0.093,-3.4,500000
Iowa Liquor,Loja estadual USA,destilados,-0.222,-3.4,12500000
Walmart Sales,Varejo amplo USA,todas_agregadas,-0.984,-3.0,6435
