evento,n_campanhas,categorias,lucro_total
Véspera de Natal,5,cigarro_souza_cruz;cerveja,238.35
Réveillon,3,cigarro_souza_cruz;cerveja,212.55
Black Friday,3,cigarro_souza_cruz;cerveja,139.65
Dia dos Namorados,4,cerveja;cigarro_jti;agua,76.66
Dia das Crianças,3,cigarro_jti;cerveja,59.34
Dia do Consumidor,1,cerveja,51.6
Copa 2026 — Estreia provável Brasil,1,cerveja,38.7
Dia Internacional da Mulher,1,cerveja,38.7
Copa 2026 — Final,1,cerveja,38.7
Dia das Mães,3,cigarro_jti;agua,38.150000000000006
Dia dos Pais,3,cigarro_jti;agua,34.47
Copa 2026 — Fase de grupos Brasil,2,cigarro_jti;agua,30.410000000000004
Cyber Monday,1,cerveja,25.8
Copa 2026 — Abertura,1,agua,15.11
