categoria,mes_aprox,uplift_mensal
agua,1,0.624
agua,2,0.738
agua,3,1.01
agua,4,1.238
agua,5,1.189
agua,6,1.14
agua,7,1.051
agua,8,0.896
agua,9,0.878
agua,10,1.077
agua,11,1.069
agua,12,1.09
biscoito,1,0.595
biscoito,2,0.777
biscoito,3,0.893
biscoito,4,1.005
biscoito,5,1.038
biscoito,6,1.099
biscoito,7,1.105
biscoito,8,1.102
biscoito,9,1.153
biscoito,10,1.031
biscoito,11,1.181
biscoito,12,1.02
cafe,1,0.587
cafe,2,0.743
cafe,3,0.762
cafe,4,0.997
cafe,5,0.959
cafe,6,1.073
cafe,7,1.104
cafe,8,1.168
cafe,9,1.3
cafe,10,1.087
cafe,11,1.159
cafe,12,1.062
cerveja,1,0.552
cerveja,2,0.754
cerveja,3,1.068
cerveja,4,1.301
cerveja,5,1.178
cerveja,6,1.089
cerveja,7,1.011
cerveja,8,1.009
cerveja,9,1.11
cerveja,10,0.994
cerveja,11,1.081
cerveja,12,0.854
cha,1,0.639
cha,2,0.717
cha,3,0.87
cha,4,1.135
cha,5,1.098
cha,6,0.822
cha,7,1.054
cha,8,1.229
cha,9,1.056
cha,10,1.111
cha,11,1.181
cha,12,1.088
chocolate_doce,1,0.791
chocolate_doce,2,0.713
chocolate_doce,3,0.796
chocolate_doce,4,0.827
chocolate_doce,5,0.909
chocolate_doce,6,0.938
chocolate_doce,7,1.164
chocolate_doce,8,1.339
chocolate_doce,9,1.368
chocolate_doce,10,0.81
chocolate_doce,11,1.346
chocolate_doce,12,1.0
cigarro,1,0.578
cigarro,2,0.732
cigarro,3,0.961
cigarro,4,1.246
cigarro,5,1.149
cigarro,6,1.206
cigarro,7,1.061
cigarro,8,0.999
cigarro,9,1.077
cigarro,10,0.994
cigarro,11,1.083
cigarro,12,0.914
destilados,1,0.606
destilados,2,0.901
destilados,3,0.988
destilados,4,1.102
destilados,5,1.033
destilados,6,0.862
destilados,7,1.015
destilados,8,0.907
destilados,9,1.477
destilados,10,1.095
destilados,11,1.111
destilados,12,0.904
gelo,1,0.416
gelo,2,0.866
gelo,3,1.778
gelo,4,2.147
gelo,5,1.718
gelo,6,1.41
gelo,7,0.722
gelo,8,0.678
gelo,9,0.762
gelo,10,0.62
gelo,11,0.432
gelo,12,0.45
padaria,1,0.64
padaria,2,0.756
padaria,3,0.899
padaria,4,1.081
padaria,5,1.107
padaria,6,1.103
padaria,7,1.026
padaria,8,1.049
padaria,9,1.065
padaria,10,1.086
padaria,11,1.142
padaria,12,1.047
refrigerante,1,0.648
refrigerante,2,0.756
refrigerante,3,0.953
refrigerante,4,1.216
refrigerante,5,1.044
refrigerante,6,1.076
refrigerante,7,1.003
refrigerante,8,1.013
refrigerante,9,1.031
refrigerante,10,1.006
refrigerante,11,1.173
refrigerante,12,1.083
sanduiche,1,0.617
sanduiche,2,0.7
sanduiche,3,0.821
sanduiche,4,0.967
sanduiche,5,0.978
sanduiche,6,0.974
sanduiche,7,1.064
sanduiche,8,1.137
sanduiche,9,1.278
sanduiche,10,1.183
sanduiche,11,1.204
sanduiche,12,1.077
snack,1,0.618
snack,2,0.738
snack,3,0.916
snack,4,1.059
snack,5,1.033
snack,6,1.047
snack,7,1.021
snack,8,1.05
snack,9,1.165
snack,10,1.125
snack,11,1.201
snack,12,1.027
sorvete,1,0.632
sorvete,2,0.723
sorvete,3,1.024
sorvete,4,1.161
sorvete,5,1.253
sorvete,6,1.127
sorvete,7,1.118
sorvete,8,1.014
sorvete,9,0.927
sorvete,10,1.038
sorvete,11,1.02
sorvete,12,0.964
suco,1,0.643
suco,2,0.744
suco,3,0.886
suco,4,0.982
suco,5,1.033
suco,6,1.037
suco,7,1.006
suco,8,1.067
suco,9,1.068
suco,10,1.22
suco,11,1.159
suco,12,1.155
vinho,1,0.613
vinho,2,0.744
vinho,3,0.82
vinho,4,0.929
vinho,5,0.943
vinho,6,0.949
vinho,7,1.007
vinho,8,1.142
vinho,9,1.555
vinho,10,1.203
vinho,11,1.205
vinho,12,0.889
