categoria,evento,ano,data_evento,qtd_dia_janela,qtd_dia_baseline,uplift_medido,uplift_prior_calendario
beleza,Dia Internacional da Mulher,2017,2017-03-08,5.5,10.61,0.519,1.6
beleza,Dia das Mães,2017,2017-05-14,9.27,10.32,0.898,2.2
beleza,Black Friday,2017,2017-11-24,28.09,8.91,3.152,1.5
beleza,Cyber Monday,2017,2017-11-27,33.67,8.91,3.781,1.3
beleza,Véspera de Natal,2017,2017-12-24,12.36,9.64,1.282,2.8
beleza,Réveillon,2017,2017-12-31,8.12,10.02,0.811,3.0
beleza,Dia Internacional da Mulher,2018,2018-03-08,25.0,24.33,1.027,1.6
beleza,Dia das Mães,2018,2018-05-13,31.73,24.01,1.321,2.2
brinquedos,Dia das Crianças,2017,2017-10-12,10.88,7.17,1.517,1.7
brinquedos,Black Friday,2017,2017-11-24,24.82,5.89,4.215,1.5
brinquedos,Cyber Monday,2017,2017-11-27,30.11,5.83,5.168,1.3
brinquedos,Véspera de Natal,2017,2017-12-24,6.91,6.68,1.034,2.8
brinquedos,Réveillon,2017,2017-12-31,4.62,7.31,0.632,3.0
esportes,Dia dos Pais,2017,2017-08-13,13.18,11.01,1.197,1.9
esportes,Black Friday,2017,2017-11-24,26.09,10.03,2.601,1.5
esportes,Cyber Monday,2017,2017-11-27,32.89,10.03,3.279,1.3
esportes,Véspera de Natal,2017,2017-12-24,13.18,10.8,1.221,2.8
esportes,Réveillon,2017,2017-12-31,6.62,11.14,0.595,3.0
esportes,Dia dos Pais,2018,2018-08-12,18.64,18.54,1.005,1.9
presente_geral,Dia das Mães,2017,2017-05-14,11.82,13.03,0.907,2.2
presente_geral,Dia dos Namorados,2017,2017-06-12,11.62,12.95,0.898,2.5
presente_geral,Dia dos Pais,2017,2017-08-13,15.73,12.63,1.245,1.9
presente_geral,Dia das Crianças,2017,2017-10-12,17.25,12.17,1.417,1.7
presente_geral,Black Friday,2017,2017-11-24,30.64,11.14,2.751,1.5
presente_geral,Cyber Monday,2017,2017-11-27,33.78,11.12,3.038,1.3
presente_geral,Véspera de Natal,2017,2017-12-24,15.36,12.1,1.269,2.8
presente_geral,Réveillon,2017,2017-12-31,11.75,12.49,0.941,3.0
presente_geral,Dia das Mães,2018,2018-05-13,38.73,19.67,1.969,2.2
presente_geral,Dia dos Namorados,2018,2018-06-12,19.75,21.71,0.91,2.5
presente_geral,Dia dos Pais,2018,2018-08-12,24.36,21.09,1.155,1.9
baby,Dia das Mães,2017,2017-05-14,3.45,4.0,0.864,2.2
baby,Dia das Crianças,2017,2017-10-12,4.88,3.81,1.278,1.7
baby,Black Friday,2017,2017-11-24,9.36,3.55,2.641,1.5
baby,Cyber Monday,2017,2017-11-27,9.22,3.54,2.607,1.3
baby,Véspera de Natal,2017,2017-12-24,4.0,3.85,1.039,2.8
baby,Réveillon,2017,2017-12-31,2.43,3.92,0.62,3.0
baby,Dia das Mães,2018,2018-05-13,8.82,7.17,1.229,2.2
presente_perfume,Dia das Mães,2017,2017-05-14,3.91,5.2,0.751,2.2
presente_perfume,Dia dos Namorados,2017,2017-06-12,6.12,5.05,1.214,2.5
presente_perfume,Dia das Crianças,2017,2017-10-12,5.38,4.97,1.081,1.7
presente_perfume,Black Friday,2017,2017-11-24,15.82,4.34,3.645,1.5
presente_perfume,Cyber Monday,2017,2017-11-27,19.11,4.32,4.423,1.3
presente_perfume,Véspera de Natal,2017,2017-12-24,6.0,4.81,1.247,2.8
presente_perfume,Réveillon,2017,2017-12-31,4.12,4.98,0.828,3.0
presente_perfume,Dia das Mães,2018,2018-05-13,7.09,6.89,1.029,2.2
presente_perfume,Dia dos Namorados,2018,2018-06-12,9.5,6.98,1.362,2.5
pet,Black Friday,2017,2017-11-24,4.27,2.55,1.676,1.5
pet,Cyber Monday,2017,2017-11-27,4.78,2.55,1.871,1.3
pet,Véspera de Natal,2017,2017-12-24,2.22,2.71,0.821,2.8
pet,Réveillon,2017,2017-12-31,2.17,2.74,0.791,3.0
presente_acessorio,Véspera de Natal,2016,2016-12-24,1.0,2.0,0.5,2.8
presente_acessorio,Dia das Mães,2017,2017-05-14,2.5,3.58,0.697,2.2
presente_acessorio,Dia dos Namorados,2017,2017-06-12,3.88,3.6,1.075,2.5
presente_acessorio,Black Friday,2017,2017-11-24,10.27,3.17,3.238,1.5
presente_acessorio,Cyber Monday,2017,2017-11-27,11.89,3.18,3.744,1.3
presente_acessorio,Véspera de Natal,2017,2017-12-24,4.1,3.47,1.182,2.8
presente_acessorio,Réveillon,2017,2017-12-31,3.88,3.52,1.102,3.0
presente_acessorio,Dia das Mães,2018,2018-05-13,4.91,3.89,1.263,2.2
presente_acessorio,Dia dos Namorados,2018,2018-06-12,3.0,4.05,0.74,2.5
alimentos,Black Friday,2017,2017-11-24,2.0,1.36,1.468,1.5
alimentos,Cyber Monday,2017,2017-11-27,2.5,1.37,1.829,1.3
alimentos,Véspera de Natal,2017,2017-12-24,1.0,1.42,0.704,2.8
alimentos,Réveillon,2017,2017-12-31,1.67,1.4,1.194,3.0
bebidas,Black Friday,2017,2017-11-24,2.2,1.38,1.589,1.5
bebidas,Cyber Monday,2017,2017-11-27,1.33,1.39,0.956,1.3
bebidas,Véspera de Natal,2017,2017-12-24,1.6,1.57,1.021,2.8
bebidas,Réveillon,2017,2017-12-31,1.14,1.5,0.762,3.0
alimentos_bebidas,Black Friday,2017,2017-11-24,2.33,1.34,1.735,1.5
alimentos_bebidas,Cyber Monday,2017,2017-11-27,2.67,1.38,1.928,1.3
alimentos_bebidas,Véspera de Natal,2017,2017-12-24,2.0,1.52,1.32,2.8
alimentos_bebidas,Réveillon,2017,2017-12-31,1.0,1.59,0.628,3.0
presente_flores,Dia dos Namorados,2018,2018-06-12,2.0,1.21,1.652,2.5
