categoria,n_train,n_val,mape_train_%,mape_val_%,r2_val,receita_media
cigarro_souza_cruz,1663,416,21.5,14.5,0.007,896.58
cigarro_philip_morris,1663,416,25.4,16.8,-0.202,644.55
doce,1655,414,35.2,25.4,0.074,114.58
cigarro_jti,1666,417,39.7,25.7,-0.103,249.99
agua,1666,417,37.3,34.4,0.249,93.44
cafe,904,226,65.9,45.0,-0.254,9.01
refrigerante,1668,417,43.7,47.2,0.262,87.29
energetico,1627,407,70.2,49.6,0.135,87.2
snack,1665,417,44.9,51.6,0.065,93.13
cerveja,1665,417,55.9,55.2,0.305,162.81
destilados,460,115,93.9,58.4,-0.123,26.35
isotonico,1497,375,77.9,59.5,0.148,27.03
chocolate_impulso,1619,405,79.3,65.4,-0.058,40.19
chocolate_premium,1659,415,53.9,68.7,0.039,69.0
suco,1600,401,75.8,74.4,0.007,23.91
padaria,822,206,98.2,74.6,-0.075,37.79
biscoito,1557,390,104.1,93.4,-0.068,17.35
sorvete,1635,409,90.0,97.1,0.33,172.98
gelo,1200,301,144.3,122.2,0.141,81.79
